year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2015,783.5406,2,1,2,1,7,4,5,0,2,2,4,1,1,1,1,3,1,0,0,2,1
2015,783.5406,2,1,2,1,7,4,5,0,2,2,4,1,1,1,1,3,1,0,0,2,1
2015,717.56004,1,1,2,1,5,1,7,4,2,1,4,1,2,0,1,4,2,1,2,2,3
2015,1045.23468,1,2,2,2,7,1,88,4,2,1,2,1,1,3,1,3,1,1,2,2,1
2015,2457.68958,2,1,2,1,6,2,7,0,2,2,3,2,2,0,1,4,2,0,0,2,4
2015,1698.97224,1,1,1,4,4,1,4,2,2,2,6,1,1,1,1,3,1,1,1,2,1
2015,2774.55019,2,1,2,1,4,1,1,2,2,1,4,2,2,0,1,1,1,1,2,2,1
2015,2355.11454,1,3,2,3,6,4,6,4,2,1,5,1,1,3,1,3,1,0,0,2,5
2015,594.82276,1,1,2,1,6,2,7,1,4,2,3,1,1,3,1,3,1,0,0,2,3
2015,1393.26451,2,2,2,2,8,4,2,5,4,1,3,1,2,0,1,4,2,0,0,1,1
2015,2113.96524,1,3,2,3,4,1,6,2,2,1,5,2,2,0,1,4,2,0,0,2,3
2015,11722.23062,1,1,1,4,3,1,88,1,4,2,3,1,1,2,1,3,1,0,0,2,4
2015,4607.51443,1,1,2,1,6,4,88,0,4,2,2,1,2,0,1,4,2,1,2,2,3
2015,6033.89751,1,1,2,1,2,1,88,0,4,2,3,1,1,2,1,3,1,0,0,2,3
2015,4027.35661,2,1,2,1,2,1,5,0,3,3,1,2,2,0,1,4,2,0,0,2,2
2015,3407.84478,1,1,2,1,6,4,3,1,2,2,1,1,2,0,1,4,2,0,0,2,1
2015,5900.99737,1,2,2,2,1,1,4,1,3,2,4,3,3,5,1,4,2,0,0,,2
2015,3559.2062,1,1,2,1,6,2,7,1,1,2,2,2,2,0,1,4,2,0,0,2,1
2015,5870.77739,1,2,2,2,5,1,88,3,3,1,6,1,2,0,2,5,3,0,0,2,3
2015,5051.26266,2,2,2,2,5,1,88,3,3,1,3,2,3,5,1,4,2,0,0,2,1
2015,5051.26266,2,2,2,2,5,1,88,3,3,1,3,2,3,5,1,4,2,0,0,2,1
2015,2601.51604,1,1,1,4,4,2,5,3,4,1,4,1,1,1,1,3,1,0,0,2,3
